,Lat,Long,Time
5952,44.9357523,3.8142728,1546442531.999
5953,44.935948,3.8144298,1546442532.999
5954,44.9361414,3.8146002,1546442533.999
5955,44.9363368,3.8147715,1546442534.999
5956,44.9365342,3.8149464,1546442535.999
5957,44.9367343,3.815121,1546442536.999
5958,44.9373208,3.8156457,1546442539.999
5959,44.939203,3.8166522,1546442548.999
5960,44.9423769,3.818401,1546442563.999
5961,44.9454732,3.820465,1546442579.999
5962,44.9484001,3.8225236,1546442594.999
5963,44.9491787,3.8231256,1546442598.999
5964,44.9511164,3.8251226,1546442609.999
5965,44.9512747,3.8253485,1546442610.999
5966,44.9514333,3.8255772,1546442611.999
5967,44.9515912,3.8257973,1546442612.999
5968,44.9517442,3.8260076,1546442613.999
5969,44.9518958,3.8262157,1546442614.999
5970,44.9520449,3.8264237,1546442615.999
5971,44.9521903,3.8266422,1546442616.999
5972,44.9523284,3.8268672,1546442617.999
5973,44.9524575,3.8271007,1546442618.999
5974,44.9525807,3.8273395,1546442619.999
5975,44.9527015,3.8275785,1546442620.999
5976,44.9528221,3.8278146,1546442621.999
5977,44.9529437,3.8280544,1546442622.999
5978,44.9530672,3.8282992,1546442623.999
5979,44.9531937,3.8285337,1546442624.999
5980,44.9533186,3.828765,1546442625.999
5981,44.9534447,3.8289942,1546442626.999
5982,44.9535733,3.8292239,1546442627.999
5983,44.9536999,3.8294584,1546442628.999
5984,44.9538265,3.8296923,1546442629.999
5985,44.9539541,3.8299237,1546442630.999
5986,44.954089,3.8301443,1546442631.999
5987,44.9542384,3.8303515,1546442632.999
5988,44.9544067,3.8305417,1546442633.999
5989,44.9545917,3.8307228,1546442634.999
5990,44.9547889,3.8308839,1546442635.999
5991,44.9549996,3.8310219,1546442636.999
5992,44.9552152,3.8311422,1546442637.999
5993,44.9554295,3.8312463,1546442638.999
5994,44.9556351,3.8313633,1546442639.999
5995,44.9558376,3.8314984,1546442640.999
5996,44.9560356,3.8316504,1546442641.999
5997,44.9562256,3.8318283,1546442642.999
5998,44.956405,3.8320402,1546442643.999
5999,44.9565732,3.8322739,1546442644.999
6000,44.9567334,3.832515,1546442645.999
6001,44.956894,3.8327573,1546442646.999
6002,44.9570533,3.833002,1546442647.999
6003,44.9572069,3.8332424,1546442648.999
6004,44.9573567,3.8334688,1546442649.999
6005,44.9592211,3.838582,1546442669.999
6006,44.959337,3.8388001,1546442670.999
6007,44.961685,3.8413435,1546442685.999
6008,44.9628717,3.8446982,1546442701.999
6009,44.9642279,3.8446886,1546442717.999
6010,44.9663405,3.8444106,1546442729.999
6011,44.9665331,3.8443892,1546442730.999
6012,44.9692806,3.8440518,1546442745.999
6013,44.9727839,3.8442613,1546442776.999
6014,44.9736667,3.846803,1546442789.999
6015,44.9737397,3.8470272,1546442790.999
6016,44.9748014,3.8506393,1546442805.999
6017,44.9761895,3.8538964,1546442821.999
6018,44.9776826,3.8563187,1546442836.999
6019,44.9794295,3.8585847,1546442850.999
6020,44.9794704,3.8588444,1546442851.999
6021,44.9794925,3.8591123,1546442852.999
6022,44.9798073,3.8628841,1546442868.999
6023,44.9826331,3.8635906,1546442883.999
6024,44.9858921,3.8640476,1546442899.999
6025,44.9881009,3.8630933,1546442910.999
6026,44.9906873,3.8649252,1546442926.999
6027,44.9929033,3.8666508,1546442941.999
6028,44.9954118,3.868859,1546442957.999
6029,44.9961687,3.8703451,1546442970.999
6030,44.9962722,3.8704268,1546442971.999
6031,44.9981067,3.8727171,1546442987.999
6032,44.9997183,3.8745714,1546443002.999
6033,45.0006402,3.8765815,1546443017.999
6034,45.0021758,3.8794763,1546443031.999
